,brexit_constituency,area_code,region,region_code,eu_contribution_gbp,project_eu_contribution_gbp,project_total_cost_gbp,spending_per_voter,electorate,votes_cast,valid_votes,pct_turnout,remain,leave,pct_remain,pct_leave,rejected_ballots,pct_rejected,spending_percentile
377,West Oxfordshire,E07000181,South East,E12000008,1419373.0,18435713.0,19807035.0,223.6231122863624,82441,65719,65671,79.72,35236,30435,53.66,46.34,48,0.07,30.90452261306533
378,West Somerset,E07000191,South West,E12000009,1171464.0,4146701.0,4401425.0,150.90985515685273,27478,21753,21734,79.17,8566,13168,39.41,60.59,19,0.09,22.36180904522613
379,West Tyrone,N06000018,Northern Ireland,N92000002,8236937.48,20668233.48,17617839.72,318.26170647202844,64941,40061,40039,61.69,26765,13274,66.85,33.15,22,0.05,41.45728643216081
380,Westminster,E09000033,London,E12000007,933410444.0,7856177005.0,10714071962.0,65183.50706083437,120524,78325,78196,64.99,53928,24268,68.97,31.03,129,0.16,99.74874371859296
381,Weymouth and Portland,E07000053,South West,E12000009,864192.0,7199715.0,8630217.0,142.7325443083145,50442,38271,38255,75.87,14903,23352,38.96,61.04,16,0.04,21.35678391959799
382,Wigan,E08000010,North West,E12000002,1779344.0,23590662.0,28343712.0,99.96805688569465,235982,163381,163273,69.23,58942,104331,36.1,63.9,108,0.07,15.326633165829145
383,Wiltshire,E06000054,South West,E12000009,24646918.0,164518597.0,197119530.0,448.8237699663079,366555,289102,288895,78.87,137258,151637,47.51,52.49,207,0.07,50.25125628140704
384,Winchester,E07000094,South East,E12000008,8242969.0,135068039.0,409343323.0,1507.539918522239,89595,72801,72764,81.26,42878,29886,58.93,41.07,37,0.05,75.87939698492463
385,Windsor and Maidenhead,E06000040,South East,E12000008,23211251.0,200247976.0,332318468.0,1950.4989626454972,102665,81855,81792,79.73,44086,37706,53.9,46.1,63,0.08,81.15577889447236
386,Wirral,E08000015,North West,E12000002,1006081.0,19714408.0,40188308.0,81.27373767355958,242568,172137,172000,70.96,88931,83069,51.7,48.3,137,0.08,12.06030150753769
387,Woking,E07000217,South East,E12000008,3631991.0,43697185.0,51601612.0,612.7520227728464,71313,55261,55221,77.49,31007,24214,56.15,43.85,40,0.07,58.040201005025125
388,Wokingham,E06000041,South East,E12000008,101093577.0,1133811400.0,1591275461.0,9301.84673191622,121891,97551,97501,80.03,55272,42229,56.69,43.31,50,0.05,96.48241206030151
389,Wolverhampton,E08000031,West Midlands,E12000005,23896211.0,135864354.0,136635949.0,777.4339322499428,174760,118037,117936,67.54,44138,73798,37.43,62.57,101,0.09,64.57286432160804
390,Worcester,E07000237,West Midlands,E12000005,11538868.0,26567134.0,38704379.0,361.3789379182763,73516,54290,54239,73.85,25125,29114,46.32,53.68,51,0.09,45.97989949748744
391,Worthing,E07000229,South East,E12000008,199997.0,5710384.0,399997.0,70.1659294210164,81384,61416,61366,75.46,28851,32515,47.01,52.99,50,0.08,9.547738693467336
392,Wrexham,W06000006,Wales,W92000004,11195568.0,62045421.0,69534554.0,630.6454403154985,98384,70407,70366,71.56,28822,41544,40.96,59.04,41,0.06,59.04522613065327
393,Wychavon,E07000238,West Midlands,E12000005,6432920.0,83933184.0,128227357.0,888.2100384139178,94497,76425,76389,80.88,32188,44201,42.14,57.86,36,0.05,67.58793969849246
394,Wycombe,E07000007,South East,E12000008,10977077.0,134951183.0,286137705.0,1077.3685374421204,125260,94869,94790,75.74,49261,45529,51.97,48.03,79,0.08,70.85427135678393
395,Wyre,E07000128,North West,E12000002,285366.0,6984599.0,7652317.0,82.68635389660356,84471,63028,62979,74.61,22816,40163,36.23,63.77,49,0.08,12.311557788944723
396,Wyre Forest,E07000239,West Midlands,E12000005,37942.0,427859.0,54204.0,5.493964919489458,77878,57666,57632,74.05,21240,36392,36.85,63.15,34,0.06,0.5025125628140703
397,York,E06000014,Yorkshire and The Humber,E12000003,98110983.62,682954515.42,867503490.36,4401.699668207041,155157,109681,109600,70.69,63617,45983,58.04,41.96,81,0.07,90.20100502512562
