,brexit_constituency,area_code,region,region_code,eu_contribution_gbp,project_eu_contribution_gbp,project_total_cost_gbp,spending_per_voter,electorate,votes_cast,valid_votes,pct_turnout,remain,leave,pct_remain,pct_leave,rejected_ballots,pct_rejected,spending_percentile
112,East Northamptonshire,E07000152,East Midlands,E12000004,364380.0,2396466.0,2194111.0,35.069892001053645,68334,52607,52574,76.99,21680,30894,41.24,58.76,33,0.06,4.271356783919598
113,East Renfrewshire,S12000011,Scotland,S92000003,571530.0,5901912.0,8177447.0,84.8280560546173,69575,52969,52941,76.13,39345,13596,74.32,25.68,28,0.05,12.56281407035176
114,East Riding of Yorkshire,E06000011,Yorkshire and The Humber,E12000003,12683639.0,61870121.0,81591395.97,232.553349596124,266047,199036,198915,74.81,78779,120136,39.6,60.4,121,0.06,31.65829145728643
115,East Staffordshire,E07000193,West Midlands,E12000005,54760.0,1902351.0,1854785.0,22.76683261925848,83558,62161,62116,74.39,22850,39266,36.79,63.21,45,0.07,2.763819095477387
116,Eastbourne,E07000061,South East,E12000008,280043.0,14596764.0,1140584.0,203.50729163762088,71726,53598,53545,74.73,22845,30700,42.67,57.33,53,0.1,28.391959798994975
117,Eastleigh,E07000086,South East,E12000008,5843196.0,46075915.34,65303540.24,473.6422218338816,97280,76148,76074,78.28,36172,39902,47.55,52.45,74,0.1,51.256281407035175
118,Eden,E07000030,North West,E12000002,909741.0,2330633.0,3119232.0,55.66089510890333,41872,31746,31718,75.82,14807,16911,46.68,53.32,28,0.09,7.5376884422110555
119,Elmbridge,E07000207,South East,E12000008,14867864.0,189158100.0,325718744.0,1918.186243193088,98613,77058,77003,78.14,45841,31162,59.53,40.47,55,0.07,80.65326633165829
120,Enfield,E09000010,London,E12000007,18169437.0,288068901.0,359672028.0,1452.055331246503,198387,137056,136906,69.09,76425,60481,55.82,44.18,150,0.11,75.37688442211055
121,Epping Forest,E07000072,East,E12000006,0.0,518005.0,0.0,5.179221324588067,100016,76900,76852,76.89,28676,48176,37.31,62.69,48,0.06,0.25125628140703515
122,Epsom and Ewell,E07000208,South East,E12000008,685316.0,15768665.0,24247938.0,279.6755170089745,56382,45343,45303,80.42,23596,21707,52.08,47.92,40,0.09,37.185929648241206
123,Erewash,E07000036,East Midlands,E12000004,1193029.0,8478736.0,9723433.0,96.79364354536736,87596,66566,66530,75.99,25791,40739,38.77,61.23,36,0.05,14.824120603015075
124,Exeter,E07000041,South West,E12000009,174106415.0,1275895335.0,1681996877.0,14764.402085237858,86417,63867,63803,73.91,35270,28533,55.28,44.72,64,0.1,98.49246231155779
